x_value,total_1,total_2
0,1000,1000
1,995,997
2,992,994
3,992,996
4,991,999
5,985,1001
6,992,1006
7,988,1003
8,982,1003
9,980,1007
10,983,1008
11,978,1005
12,983,1010
13,988,1007
14,990,1005
15,986,1001
16,991,998
17,991,1004
18,997,1004
19,1000,1010
20,1006,1007
21,1001,1009
22,1004,1011
23,1002,1015
24,1000,1012
25,995,1018
26,1001,1014
27,1003,1012
28,1006,1007
29,1014,1002
30,1016,1004
31,1022,1000
32,1021,1006
33,1016,1006
34,1022,1002
35,1024,997
36,1032,1002
37,1036,1008
38,1032,1004
39,1029,1004
40,1035,1006
41,1030,1002
42,1026,997
